offer_id,offer_name,category,channel,estimated_value,suitability_score
O_127,Empréstimo Pessoal Express,Crédito,SMS,205.00,5
O_128,Upgrade para Conta PJ Smart,Serviços,Banner,205.00,6
O_129,Seguro Auto Max,Seguros,App Push,105.00,9
O_130,Upgrade para Conta PJ Express,Serviços,App Push,285.00,10
O_131,Open Banking Premium Especial,Serviços,Banner,590.00,10
O_132,Seguro Auto Plus,Seguros,Email,155.00,8
O_133,Crédito Consignado Smart,Crédito,SMS,480.00,9
O_134,Cartão Crédito Max,Crédito,Banner,395.00,4
O_135,Financiamento de Veículos Flex,Crédito,SMS,235.00,7
O_136,Previdência Privada Select,Investimento,SMS,1445.00,3
O_137,Seguro Auto Plus,Seguros,Banner,150.00,10
O_138,Seguro de Vida Select,Seguros,App Push,370.00,4
O_139,Financiamento de Veículos Online,Crédito,Email,550.00,4
O_140,Seguro Auto Avançado,Seguros,Banner,390.00,4
O_141,Investimento CDB Online,Investimento,Email,515.00,4
O_142,Conta Internacional Premium,Serviços,Email,90.00,8
O_143,Cartão Crédito Select,Crédito,Banner,160.00,6
O_144,Empréstimo Pessoal Online,Crédito,SMS,1070.00,4
O_145,Open Banking Premium Flex,Serviços,Email,250.00,7
O_146,Open Banking Premium Max,Serviços,Banner,345.00,9
O_147,Empréstimo Pessoal Especial,Crédito,App Push,515.00,4
O_148,Crédito Consignado Especial,Crédito,App Push,640.00,8
O_149,Seguro Residencial Especial,Seguros,Banner,290.00,5
O_150,Previdência Privada Flex,Investimento,Email,250.00,8
O_151,Cartão Crédito Universitário Especial,Crédito,Email,1005.00,4
O_152,Cartão Crédito Plus,Crédito,Banner,905.00,3
O_153,Upgrade para Conta PJ Smart,Serviços,App Push,205.00,3
O_154,Seguro Auto Avançado,Seguros,Email,170.00,5
O_155,Crédito Consignado Especial,Crédito,Banner,615.00,6
O_156,Conta Internacional Premium,Serviços,SMS,385.00,10
O_157,Empréstimo Pessoal Online,Crédito,Email,655.00,3
O_158,Cartão Crédito Flex,Crédito,Banner,800.00,9
O_159,Open Banking Premium Express,Serviços,App Push,150.00,5
O_160,Cartão Crédito Avançado,Crédito,App Push,330.00,9
O_161,Seguro Proteção Celular Premium,Seguros,Banner,405.00,9
O_162,Tesouro Direto Smart,Investimento,SMS,970.00,3
O_163,Upgrade para Conta PJ Smart,Serviços,App Push,425.00,7
O_164,Seguro de Vida Premium,Seguros,Banner,340.00,9
O_165,Tesouro Direto Avançado,Investimento,SMS,600.00,7
O_166,Assessoria Financeira Especial,Serviços,SMS,410.00,7
O_167,Financiamento de Veículos Max,Crédito,Banner,505.00,8
O_168,Consórcio Imobiliário Express,Investimento,SMS,685.00,6
O_169,Upgrade para Conta PJ Online,Serviços,SMS,225.00,7
O_170,Crédito Consignado Plus,Crédito,Banner,935.00,7
O_171,Fundo de Investimento Express,Investimento,SMS,1140.00,5
O_172,Cartão Crédito Max,Crédito,SMS,145.00,10
O_173,Investimento CDB Express,Investimento,Banner,1420.00,4
O_174,Pacote de Serviços Digitais Smart,Serviços,SMS,200.00,8
O_175,Cartão Crédito Max,Crédito,Email,315.00,3
O_176,Seguro Residencial Express,Seguros,Banner,330.00,10
O_177,Consórcio Imobiliário Especial,Investimento,SMS,1125.00,4
O_178,Cartão Crédito Universitário Max,Crédito,SMS,810.00,10
O_179,Seguro Residencial Online,Seguros,Banner,420.00,10
O_180,Cartão Crédito Max,Crédito,App Push,845.00,10
O_181,Fundo de Investimento Express,Investimento,Email,1085.00,5
O_182,Financiamento de Veículos Max,Crédito,Banner,920.00,10
O_183,Seguro Viagem Avançado,Seguros,App Push,340.00,4
O_184,Seguro de Vida Flex,Seguros,Email,305.00,3
O_185,Previdência Privada Flex,Investimento,Banner,725.00,4
O_186,Previdência Privada Plus,Investimento,SMS,920.00,6
O_187,Cartão Crédito Universitário Especial,Crédito,Email,105.00,5
O_188,Cartão Crédito Especial,Crédito,Banner,1095.00,8
O_189,Fundo de Investimento Max,Investimento,App Push,705.00,7
O_190,Crédito Consignado Flex,Crédito,Email,1100.00,9
O_191,Cartão Crédito Universitário Max,Crédito,Banner,815.00,10
O_192,Seguro Residencial Select,Seguros,App Push,90.00,10
O_193,Fundo de Investimento Select,Investimento,App Push,665.00,9
O_194,Seguro Viagem Select,Seguros,Banner,325.00,8
O_195,Assessoria Financeira Flex,Serviços,App Push,480.00,7
O_196,Investimento CDB Max,Investimento,SMS,1445.00,7
O_197,Previdência Privada Select,Investimento,Banner,100.00,8
O_198,Investimento CDB Avançado,Investimento,Email,740.00,5
O_199,Investimento CDB Plus,Investimento,App Push,1160.00,9
O_200,Fundo de Investimento Especial,Investimento,Banner,1175.00,6
O_201,Fundo de Investimento Plus,Investimento,SMS,1380.00,9
O_202,Investimento CDB Express,Investimento,App Push,1045.00,8
O_203,Crédito Consignado Express,Crédito,Banner,610.00,5
O_204,Seguro de Vida Smart,Seguros,App Push,80.00,6
O_205,Consórcio Imobiliário Smart,Investimento,SMS,1495.00,9
O_206,Cartão Crédito Universitário Premium,Crédito,Banner,460.00,6
O_207,Cartão Crédito Universitário Smart,Crédito,Email,290.00,5
O_208,Assessoria Financeira Avançado,Serviços,SMS,385.00,5
O_209,Tesouro Direto Smart,Investimento,Banner,1325.00,8
O_210,Previdência Privada Avançado,Investimento,Email,1020.00,5
O_211,Investimento CDB Smart,Investimento,Email,65.00,8
O_212,Assessoria Financeira Premium,Serviços,Banner,270.00,10
O_213,Cartão Crédito Universitário Especial,Crédito,Email,630.00,4
O_214,Seguro de Vida Premium,Seguros,Email,70.00,7
O_215,Seguro Auto Select,Seguros,Banner,250.00,8
O_216,Investimento CDB Max,Investimento,App Push,200.00,7
O_217,Fundo de Investimento Smart,Investimento,SMS,1385.00,10
O_218,Consórcio Imobiliário Especial,Investimento,Banner,830.00,6
O_219,Conta Internacional Select,Serviços,App Push,570.00,4
O_220,Pacote de Serviços Digitais Max,Serviços,App Push,550.00,6
O_221,Pacote de Serviços Digitais Select,Serviços,Banner,465.00,7
O_222,Empréstimo Pessoal Avançado,Crédito,SMS,45.00,7
O_223,Seguro Auto Online,Seguros,App Push,485.00,7
O_224,Seguro Viagem Express,Seguros,Banner,350.00,3
O_225,Investimento CDB Avançado,Investimento,Email,115.00,10
O_226,Seguro Viagem Avançado,Seguros,Email,25.00,5
O_227,Previdência Privada Plus,Investimento,Banner,885.00,5
O_228,Fundo de Investimento Online,Investimento,SMS,285.00,3
O_229,Tesouro Direto Max,Investimento,SMS,1485.00,3
O_230,Seguro Residencial Online,Seguros,Banner,365.00,8
